0,1,2,3,target
8700.0,8900.0,8900.0,9700.0,16600.0
8900.0,8900.0,9700.0,16600.0,9000.0
8900.0,9700.0,16600.0,9000.0,9090.0
9700.0,16600.0,9000.0,9090.0,8630.0
16600.0,9000.0,9090.0,8630.0,9140.0
9000.0,9090.0,8630.0,9140.0,9080.0
9090.0,8630.0,9140.0,9080.0,9490.0
8630.0,9140.0,9080.0,9490.0,9780.0
9140.0,9080.0,9490.0,9780.0,10160.0
9080.0,9490.0,9780.0,10160.0,10070.0
9490.0,9780.0,10160.0,10070.0,10140.0
9780.0,10160.0,10070.0,10140.0,19930.0
10160.0,10070.0,10140.0,19930.0,10490.0
10070.0,10140.0,19930.0,10490.0,11170.0
10140.0,19930.0,10490.0,11170.0,10570.0
19930.0,10490.0,11170.0,10570.0,10620.0
10490.0,11170.0,10570.0,10620.0,10530.0
11170.0,10570.0,10620.0,10530.0,11740.0
10570.0,10620.0,10530.0,11740.0,11580.0
10620.0,10530.0,11740.0,11580.0,11560.0
10530.0,11740.0,11580.0,11560.0,11460.0
11740.0,11580.0,11560.0,11460.0,11830.0
11580.0,11560.0,11460.0,11830.0,22400.0
11560.0,11460.0,11830.0,22400.0,13300.0
11460.0,11830.0,22400.0,13300.0,11760.0
11830.0,22400.0,13300.0,11760.0,11800.0
22400.0,13300.0,11760.0,11800.0,11890.0
13300.0,11760.0,11800.0,11890.0,12890.0
11760.0,11800.0,11890.0,12890.0,12820.0
11800.0,11890.0,12890.0,12820.0,13160.0
11890.0,12890.0,12820.0,13160.0,13120.0
12890.0,12820.0,13160.0,13120.0,18990.0
12820.0,13160.0,13120.0,18990.0,13360.0
13160.0,13120.0,18990.0,13360.0,13300.0
13120.0,18990.0,13360.0,13300.0,19446.0
18990.0,13360.0,13300.0,19446.0,13173.2
13360.0,13300.0,19446.0,13173.2,13232.3
13300.0,19446.0,13173.2,13232.3,15225.4
19446.0,13173.2,13232.3,15225.4,13486.7
13173.2,13232.3,15225.4,13486.7,14187.3
13232.3,15225.4,13486.7,14187.3,14315.3
15225.4,13486.7,14187.3,14315.3,14407.9
13486.7,14187.3,14315.3,14407.9,14270.4
14187.3,14315.3,14407.9,14270.4,20550.4
14315.3,14407.9,14270.4,20550.4,14406.3
14407.9,14270.4,20550.4,14406.3,14324.1
14270.4,20550.4,14406.3,14324.1,23714.2
20550.4,14406.3,14324.1,23714.2,16295.8
14406.3,14324.1,23714.2,16295.8,13954.8
14324.1,23714.2,16295.8,13954.8,14769.9
23714.2,16295.8,13954.8,14769.9,15428.8
16295.8,13954.8,14769.9,15428.8,15403.5
13954.8,14769.9,15428.8,15403.5,15806.1
14769.9,15428.8,15403.5,15806.1,15407.5
15428.8,15403.5,15806.1,15407.5,17253.5
15403.5,15806.1,15407.5,17253.5,20846.5
15806.1,15407.5,17253.5,20846.5,15384.9
15407.5,17253.5,20846.5,15384.9,17783.9
17253.5,20846.5,15384.9,17783.9,21226.7
20846.5,15384.9,17783.9,21226.7,21495.1
15384.9,17783.9,21226.7,21495.1,15929.0
17783.9,21226.7,21495.1,15929.0,17550.9
21226.7,21495.1,15929.0,17550.9,17484.9
21495.1,15929.0,17550.9,17484.9,17432.1
15929.0,17550.9,17484.9,17432.1,17795.6
17550.9,17484.9,17432.1,17795.6,17783.7
17484.9,17432.1,17795.6,17783.7,19895.2
17432.1,17795.6,17783.7,19895.2,23319.6
17795.6,17783.7,19895.2,23319.6,17639.1
17783.7,19895.2,23319.6,17639.1,19972.6
19895.2,23319.6,17639.1,19972.6,23835.0
23319.6,17639.1,19972.6,23835.0,17784.4
17639.1,19972.6,23835.0,17784.4,18988.4
19972.6,23835.0,17784.4,18988.4,22774.4
23835.0,17784.4,18988.4,22774.4,19341.9
17784.4,18988.4,22774.4,19341.9,19150.1
18988.4,22774.4,19341.9,19150.1,19358.6
22774.4,19341.9,19150.1,19358.6,19396.5
19341.9,19150.1,19358.6,19396.5,22746.2
19150.1,19358.6,19396.5,22746.2,26560.8
19358.6,19396.5,22746.2,26560.8,19736.2
19396.5,22746.2,26560.8,19736.2,22478.6
22746.2,26560.8,19736.2,22478.6,27048.9
26560.8,19736.2,22478.6,27048.9,20246.5
19736.2,22478.6,27048.9,20246.5,21093.2
22478.6,27048.9,20246.5,21093.2,21308.1
27048.9,20246.5,21093.2,21308.1,24275.6
20246.5,21093.2,21308.1,24275.6,21506.8
21093.2,21308.1,24275.6,21506.8,21515.9
21308.1,24275.6,21506.8,21515.9,21932.6
24275.6,21506.8,21515.9,21932.6,24376.9
21506.8,21515.9,21932.6,24376.9,29237.1
21515.9,21932.6,24376.9,29237.1,21849.8
21932.6,24376.9,29237.1,21849.8,24902.0
24376.9,29237.1,21849.8,24902.0,29813.3
29237.1,21849.8,24902.0,29813.3,22691.3
21849.8,24902.0,29813.3,22691.3,23945.8
24902.0,29813.3,22691.3,23945.8,24139.5
29813.3,22691.3,23945.8,24139.5,27081.2
22691.3,23945.8,24139.5,27081.2,24457.3
23945.8,24139.5,27081.2,24457.3,24389.2
24139.5,27081.2,24457.3,24389.2,24976.8
27081.2,24457.3,24389.2,24976.8,27470.8
24457.3,24389.2,24976.8,27470.8,32964.0
24389.2,24976.8,27470.8,32964.0,25200.0
24976.8,27470.8,32964.0,25200.0,28065.2
27470.8,32964.0,25200.0,28065.2,32063.8
32964.0,25200.0,28065.2,32063.8,27586.8
25200.0,28065.2,32063.8,27586.8,25528.9
28065.2,32063.8,27586.8,25528.9,27850.8
32063.8,27586.8,25528.9,27850.8,31448.3
27586.8,25528.9,27850.8,31448.3,27457.7
25528.9,27850.8,31448.3,27457.7,27260.6
27850.8,31448.3,27457.7,27260.6,27799.9
31448.3,27457.7,27260.6,27799.9,30614.5
27457.7,27260.6,27799.9,30614.5,37012.8
27260.6,27799.9,30614.5,37012.8,28156.0
27799.9,30614.5,37012.8,28156.0,30878.7
30614.5,37012.8,28156.0,30878.7,36290.0
37012.8,28156.0,30878.7,36290.0,29311.5
28156.0,30878.7,36290.0,29311.5,27898.6
30878.7,36290.0,29311.5,27898.6,29789.4
36290.0,29311.5,27898.6,29789.4,29870.5
29311.5,27898.6,29789.4,29870.5,30563.1
27898.6,29789.4,29870.5,30563.1,31386.7
29789.4,29870.5,30563.1,31386.7,31869.8
29870.5,30563.1,31386.7,31869.8,33736.8
30563.1,31386.7,31869.8,33736.8,41325.2
31386.7,31869.8,33736.8,41325.2,30481.3
31869.8,33736.8,41325.2,30481.3,36958.0
33736.8,41325.2,30481.3,36958.0,41948.2
41325.2,30481.3,36958.0,41948.2,31934.1
30481.3,36958.0,41948.2,31934.1,32865.0
36958.0,41948.2,31934.1,32865.0,33799.1
41948.2,31934.1,32865.0,33799.1,33564.0
31934.1,32865.0,33799.1,33564.0,34897.9
32865.0,33799.1,33564.0,34897.9,33866.5
33799.1,33564.0,34897.9,33866.5,33748.2
33564.0,34897.9,33866.5,33748.2,33119.2
34897.9,33866.5,33748.2,33119.2,37283.0
33866.5,33748.2,33119.2,37283.0,45848.7
33748.2,33119.2,37283.0,45848.7,41117.7
33119.2,37283.0,45848.7,41117.7,45653.6
37283.0,45848.7,41117.7,45653.6,35910.0
45848.7,41117.7,45653.6,35910.0,38277.6
41117.7,45653.6,35910.0,38277.6,39030.2
45653.6,35910.0,38277.6,39030.2,38944.5
35910.0,38277.6,39030.2,38944.5,40678.0
38277.6,39030.2,38944.5,40678.0,39197.8
39030.2,38944.5,40678.0,39197.8,39408.4
38944.5,40678.0,39197.8,39408.4,43841.2
40678.0,39197.8,39408.4,43841.2,52857.2
39197.8,39408.4,43841.2,52857.2,39503.0
39408.4,43841.2,52857.2,39503.0,47596.4
43841.2,52857.2,39503.0,47596.4,53681.4
52857.2,39503.0,47596.4,53681.4,40366.3
39503.0,47596.4,53681.4,40366.3,41950.0
47596.4,53681.4,40366.3,41950.0,42128.8
53681.4,40366.3,41950.0,42128.8,43125.2
40366.3,41950.0,42128.8,43125.2,47431.7
41950.0,42128.8,43125.2,47431.7,42622.9
42128.8,43125.2,47431.7,42622.9,43141.3
43125.2,47431.7,42622.9,43141.3,47185.8
47431.7,42622.9,43141.3,47185.8,58481.8
42622.9,43141.3,47185.8,58481.8,43989.5
43141.3,47185.8,58481.8,43989.5,48275.9
47185.8,58481.8,43989.5,48275.9,58850.9
58481.8,43989.5,48275.9,58850.9,43444.3
43989.5,48275.9,58850.9,43444.3,44404.8
48275.9,58850.9,43444.3,44404.8,49685.2
58850.9,43444.3,44404.8,49685.2,44964.8
